descripcion,icono,tipo,estado,autonomia,lng,causa,hora,precision,pkFinal,provincia,fechaFin,horaFin,fecha,pkIni,sentido,alias,carretera,poblacion,suceso,codEle,nivel,lat,circulacion
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">CV-50 </span> </b> en el <b> km 23.335</b> en <b>VILELLA (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4541468,,07:32,1,23.335,VALENCIA/VALÈNCIA,?,?,31/10/2024,23.335,CRECIENTE DE LA KILOMETRACIÓN,OTROS / CV-50 (23.335 - 23.335),CV-50,VILELLA,OTROS,16981646,NO APLICA,39.161602,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>INCENDIO DE VEHÍCULO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">CV-370 </span> </b> en el <b> km 6.535</b> en <b>POLIGONO INDUSTRIAL SUR (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_VFR_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.5376955,INCENDIO DE VEHÍCULO,22:46,1,6.535,VALENCIA/VALÈNCIA,?,?,31/10/2024,6.535,CRECIENTE DE LA KILOMETRACIÓN,OTROS / CV-370 (6.535 - 6.535),CV-370,POLIGONO INDUSTRIAL SUR,OTROS,17006780,NO APLICA,39.53254,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>INUNDACIÓN</b> por <b>METEOROLOGÍA ADVERSA</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">CA-4107 </span> </b> en el <b> km 7</b> en <b>ISLETES (LOS) (CÁDIZ)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CONDICIONES DIFÍCILES CIRCULACIÓN</b></span>",INC_MET_FLD_NAP_CAC.png,Incidencia,1,Andalucía,-5.8976398,METEOROLOGÍA ADVERSA,01:09,1,7,CÁDIZ,?,?,01/11/2024,7,AMBOS SENTIDOS,METEOROLÓGICO / CA-4107 (7.0 - 7.0),CA-4107,ISLETES (LOS),METEOROLÓGICO,17007681,NO APLICA,36.560116,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-3 </span> </b> en el <b> km 336.993</b> en <b>POLIGONO INDUSTRIAL SUR (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.585053,,17:36,1,336.993,VALENCIA/VALÈNCIA,?,?,31/10/2024,336.993,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-3 (336.993 - 336.993),A-3,POLIGONO INDUSTRIAL SUR,OTROS,17000922,NO APLICA,39.473896,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 525.935</b> en <b>SAN FELIPE NERI (ALICANTE/ALACANT)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.7871159,,21:56,1,525.935,ALICANTE/ALACANT,?,?,31/10/2024,525.935,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (525.935 - 525.935),A-7,SAN FELIPE NERI,OTROS,17006269,NO APLICA,38.23546,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>ACCIDENTE</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> en el <b> km 106.127</b> en <b>SANTA FAZ (ALICANTE/ALACANT)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_VAC_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4904174,ACCIDENTE,09:56,1,106.127,ALICANTE/ALACANT,?,?,31/10/2024,106.127,CRECIENTE DE LA KILOMETRACIÓN,OTROS / N-332 (106.127 - 106.127),N-332,SANTA FAZ,OTROS,16987230,NO APLICA,38.343372,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>ACCIDENTE</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> en el <b> km 58.857</b> en <b>TORREVIEJA (ALICANTE/ALACANT)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_VAC_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.6831775,ACCIDENTE,11:54,1,58.857,ALICANTE/ALACANT,?,?,31/10/2024,58.857,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / N-332 (58.857 - 58.857),N-332,TORREVIEJA,OTROS,16991938,NO APLICA,37.995625,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> en el <b> km 221.995</b> en <b>GRAU I PLATJA (VALENCIA/VALÈNCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.1895438,,16:44,1,221.995,VALENCIA/VALÈNCIA,?,?,31/10/2024,221.995,DECRECIENTE DE LA KILOMETRACIÓN,OTROS / N-332 (221.995 - 221.995),N-332,GRAU I PLATJA,OTROS,16999449,NO APLICA,38.95653,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> por <b>ACCIDENTE</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">V-31 </span> </b> en el <b> km 2.5</b> en <b>SILLA (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>Valencia</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>ESTRECHAMIENTO CARRIL DERECHO</b></span>",INC_OHZ_VAC_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4260704,ACCIDENTE,12:40,1,2.5,VALENCIA/VALÈNCIA,?,?,31/10/2024,2.5,CRECIENTE DE LA KILOMETRACIÓN,OTROS / V-31 (2.5 - 2.5),V-31,SILLA,OTROS,16995937,NO APLICA,39.364056,Obstáculos
"<span style=""margin-top:10px; float:left; clear:both""> <b>OBSTÁCULO FIJO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 362.987</b> en <b>BENIFAIO (VALENCIA/VALÈNCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>ALICANTE</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CARRIL DERECHO CERRADO</b></span>",INC_OHZ_OHX_NAP_CAC.png,Incidencia,1,Comunitat Valenciana,-0.4606036,,11:39,1,362.987,VALENCIA/VALÈNCIA,?,?,31/10/2024,362.987,CRECIENTE DE LA KILOMETRACIÓN,OTROS / A-7 (362.987 - 362.987),A-7,BENIFAIO,OTROS,16991274,NO APLICA,39.2765,Obstáculos
